t (s),V (mV)
0,11.7501
1.05,11.729
2.101,11.7057
3.125,11.6787
4.124,11.6498
5.124,11.6237
6.124,11.5983
7.124,11.5724
8.124,11.5457
9.124,11.519
10.124,11.4929
11.125,11.4653
12.124,11.4381
13.124,11.4108
14.125,11.3833
15.124,11.3566
16.124,11.3304
17.125,11.302
18.124,11.2745
19.125,11.2473
20.124,11.2179
21.124,11.1916
22.124,11.1674
23.124,11.1456
24.124,11.1173
25.124,11.0827
26.124,11.0549
27.125,11.0251
28.124,10.9975
29.124,10.9722
30.125,10.9511
31.124,10.9204
32.125,10.8911
33.124,10.8637
34.125,10.8353
35.124,10.8095
36.124,10.7856
37.125,10.7578
38.124,10.7311
39.125,10.7036
40.124,10.6775
41.124,10.6514
42.124,10.6244
43.123,10.5991
44.123,10.5729
45.123,10.5457
46.124,10.5202
47.123,10.4936
48.124,10.4704
49.123,10.4435
50.123,10.4161
51.123,10.3898
52.123,10.3638
53.123,10.3379
54.123,10.3124
55.123,10.2867
56.123,10.2606
57.123,10.2357
58.123,10.2102
59.123,10.1855
60.123,10.1597
61.123,10.1341
62.124,10.109
63.123,10.0835
64.123,10.0587
65.124,10.0342
66.123,10.0085
67.125,9.9839
68.124,9.9596
69.125,9.9348
70.124,9.9099
71.125,9.8855
72.124,9.8606
73.124,9.835
74.124,9.8115
75.124,9.7864
76.125,9.7624
77.124,9.7375
78.125,9.7139
79.124,9.6889
80.125,9.6653
81.124,9.6412
82.125,9.6177
83.124,9.5937
84.125,9.5699
85.125,9.5464
86.124,9.5226
87.124,9.499
88.125,9.4752
89.124,9.4516
90.124,9.4281
91.124,9.4053
92.124,9.3821
93.125,9.3591
94.124,9.3364
95.125,9.3126
96.124,9.2905
97.124,9.2683
98.124,9.2446
99.124,9.2225
100.125,9.1993
101.124,9.177
102.124,9.1558
103.125,9.1342
104.124,9.1111
105.125,9.088
106.124,9.0654
107.124,9.0431
108.125,9.0206
109.125,8.9994
110.124,8.9764
111.124,8.9542
112.125,8.9329
113.124,8.9113
114.125,8.8889
115.124,8.8678
116.124,8.8461
117.124,8.8243
118.124,8.8023
119.124,8.7812
120.124,8.7602
121.125,8.7389
122.124,8.7161
123.124,8.6961
124.125,8.6752
125.124,8.6525
126.124,8.6306
127.125,8.6093
128.124,8.5886
129.124,8.5669
130.125,8.5459
131.124,8.5244
132.124,8.5043
133.124,8.4834
134.124,8.4641
135.124,8.4439
136.125,8.4217
137.124,8.402
138.124,8.3828
139.125,8.3613
140.124,8.3412
141.124,8.3208
142.125,8.3006
143.124,8.2811
144.124,8.2606
145.125,8.2392
146.125,8.2193
147.124,8.1997
148.124,8.1808
149.124,8.1607
150.125,8.1404
151.124,8.1205
152.124,8.1014
153.125,8.0812
154.125,8.0623
155.124,8.0429
156.124,8.0231
157.124,8.0033
158.124,7.9839
159.124,7.965
160.124,7.9451
161.125,7.9259
162.125,7.9067
163.124,7.8876
164.124,7.8684
165.124,7.8489
166.125,7.83
167.124,7.8123
168.124,7.7928
169.124,7.7735
170.124,7.755
171.125,7.737
172.124,7.7173
173.124,7.6996
174.125,7.6799
175.124,7.6604
176.124,7.6428
177.124,7.625
178.124,7.6054
179.124,7.5872
180.124,7.5687
181.125,7.5505
182.124,7.5322
183.124,7.5133
184.124,7.4949
185.125,7.4767
186.124,7.4585
187.124,7.4403
188.124,7.4222
189.125,7.4047
190.124,7.3868
191.124,7.3687
192.125,7.3507
193.124,7.3344
194.124,7.3149
195.124,7.2977
196.124,7.2809
197.124,7.2632
198.124,7.2452
199.124,7.2282
200.124,7.2111
201.124,7.195
202.124,7.1781
203.125,7.1608
204.125,7.143
205.125,7.1268
206.125,7.1093
207.125,7.0922
208.125,7.0755
209.125,7.0582
210.125,7.0426
211.124,7.0245
212.124,7.0079
213.124,6.9902
214.124,6.9738
215.125,6.9566
216.125,6.9398
217.125,6.9237
218.124,6.9062
219.124,6.8894
220.124,6.8748
221.125,6.8585
222.124,6.8432
223.124,6.825
224.125,6.808
225.124,6.7912
226.125,6.775
227.125,6.7586
228.124,6.7412
229.124,6.7255
230.124,6.711
231.124,6.6943
232.125,6.6781
233.125,6.6613
234.124,6.6448
235.125,6.6278
236.124,6.6118
237.124,6.5959
238.124,6.58
239.124,6.565
240.124,6.5487
241.124,6.533
242.124,6.5167
243.124,6.501
244.124,6.4855
245.124,6.471
246.124,6.4578
247.124,6.444
248.124,6.4275
249.124,6.4086
250.124,6.3932
251.124,6.3777
252.124,6.3614
253.124,6.3463
254.124,6.3309
255.124,6.3176
256.124,6.3024
257.124,6.2865
258.124,6.2703
259.124,6.2562
260.124,6.2405
261.124,6.2256
262.124,6.211
263.125,6.196
264.124,6.1817
265.124,6.1669
266.124,6.1519
267.124,6.1373
268.124,6.1228
269.124,6.108
270.124,6.0949
271.124,6.082
272.124,6.0702
273.124,6.0539
274.124,6.0391
275.124,6.0238
276.124,6.0089
277.124,5.9949
278.125,5.979
279.124,5.967
280.124,5.9509
281.124,5.9354
282.124,5.9217
283.124,5.9082
284.124,5.8953
