t (s),V (mV)
359.063,7.7028
360.063,7.6909
361.063,7.6781
362.064,7.6655
363.063,7.6535
364.063,7.6425
365.064,7.6291
366.063,7.6177
367.063,7.6061
368.063,7.5949
369.064,7.5816
370.063,7.57
371.063,7.5576
372.064,7.5451
373.063,7.5334
374.063,7.5212
375.064,7.5095
376.063,7.4969
377.063,7.4856
378.063,7.4736
379.064,7.4624
380.064,7.4503
381.063,7.439
382.063,7.427
383.063,7.4148
384.063,7.4027
385.063,7.3906
386.063,7.3794
387.064,7.3669
388.064,7.3549
389.063,7.3438
390.063,7.332
391.063,7.3201
392.063,7.3077
393.063,7.2969
394.063,7.2851
395.063,7.2737
396.064,7.2611
397.063,7.2505
398.063,7.2383
399.063,7.2265
400.064,7.2149
401.063,7.2039
402.063,7.1925
403.063,7.1813
404.063,7.1696
405.063,7.1587
406.063,7.1465
407.064,7.135
408.063,7.1236
409.063,7.1119
410.063,7.1009
411.063,7.0889
412.064,7.078
413.064,7.0667
414.063,7.0551
415.063,7.0445
416.063,7.0325
417.063,7.0212
418.063,7.0101
419.064,6.9989
420.063,6.9871
421.063,6.9752
422.063,6.9646
423.063,6.954
424.063,6.9421
425.063,6.9312
426.063,6.9208
427.064,6.9083
428.065,6.8981
429.063,6.8883
430.063,6.8789
